,holding
2001-12-10,"[('AZO', 73.5, 0), ('EQIX', 63.68000030517578, 0), ('EQIX', 63.68000030517578, 0), ('FFIV', 12.569999694824219, 0), ('KMX', 11.600000381469727, 0), ('LH', 38.994998931884766, 0), ('REGN', 26.610000610351562, 0), ('WDC', 5.71999979019165, 0), ('WRB', 6.979423999786377, 0)]"
2001-12-17,"[('AZO', 73.55000305175781, 0), ('EQIX', 62.400001525878906, 0), ('EQIX', 62.400001525878906, 0), ('FFIV', 10.654999732971191, -1), ('KMX', 11.09000015258789, 0), ('LH', 39.650001525878906, 0), ('REGN', 29.799999237060547, 0), ('WDC', 6.099999904632568, 0), ('WRB', 6.966255187988281, 0)]"
2001-12-24,"[('AZO', 72.88999938964844, 0), ('EQIX', 101.44000244140625, 0), ('EQIX', 101.44000244140625, 0), ('KMX', 11.460000038146973, 0), ('LH', 40.5, 0), ('REGN', 28.989999771118164, 0), ('WDC', 6.5, 0), ('WRB', 7.084774017333984, 0)]"
2001-12-31,"[('AZO', 67.0, -1), ('EQIX', 100.16000366210938, 0), ('EQIX', 100.16000366210938, 0), ('KMX', 10.274999618530273, 0), ('LH', 39.34000015258789, 0), ('NTAP', 26.729999542236328, 0), ('NVDA', 5.801667213439941, 0), ('REGN', 27.3700008392334, 0), ('TSCO', 2.28125, 0), ('WDC', 6.449999809265137, 0), ('WRB', 6.909629821777344, 0)]"
2002-01-07,"[('EQIX', 101.76000213623047, 0), ('EQIX', 101.76000213623047, 0), ('HOLX', 3.0399999618530273, 0), ('KMX', 10.0, 0), ('LH', 39.349998474121094, 0), ('NTAP', 22.549999237060547, -1), ('NVDA', 5.255833148956299, -1), ('REGN', 29.309999465942383, 0), ('TSCO', 2.3262500762939453, 0), ('WDC', 7.400000095367432, 0), ('WRB', 6.705513954162598, 0)]"
2002-01-14,"[('EQIX', 74.23999786376953, 0), ('EQIX', 74.23999786376953, 0), ('HOLX', 3.387500047683716, 0), ('KMX', 10.649999618530273, 0), ('LH', 40.15999984741211, 0), ('REGN', 27.43000030517578, 0), ('TSCO', 2.4856250286102295, 0), ('WDC', 6.460000038146973, 0), ('WRB', 6.417119026184082, 0)]"
2002-01-21,"[('EQIX', 77.44000244140625, 0), ('EQIX', 77.44000244140625, 0), ('HOLX', 3.6449999809265137, 0), ('KMX', 10.604999542236328, 0), ('LH', 40.36000061035156, 0), ('REGN', 28.049999237060547, 0), ('TSCO', 2.3375000953674316, 0), ('WDC', 6.889999866485596, 0), ('WRB', 6.590947151184082, 0)]"
2002-01-28,"[('EQIX', 68.16000366210938, 0), ('EQIX', 68.16000366210938, 0), ('HOLX', 3.5, 0), ('KMX', 10.449999809265137, 0), ('LH', 40.85499954223633, 0), ('REGN', 25.860000610351562, 0), ('TSCO', 2.361875057220459, 0), ('WDC', 5.71999979019165, 0), ('WDC', 5.71999979019165, 0), ('WRB', 6.6818108558654785, 0)]"
2002-02-04,"[('EQIX', 58.2400016784668, 0), ('EQIX', 58.2400016784668, 0), ('HOLX', 3.359999895095825, 0), ('KMX', 12.164999961853027, 0), ('LH', 43.75, 0), ('REGN', 23.510000228881836, 0), ('TSCO', 2.331249952316284, 0), ('WDC', 5.739999771118164, 0), ('WDC', 5.739999771118164, 0), ('WDC', 5.739999771118164, 0), ('WRB', 6.825349807739258, 0)]"
2002-02-11,"[('EQIX', 60.47999954223633, 0), ('EQIX', 60.47999954223633, 0), ('HOLX', 3.192500114440918, 0), ('KMX', 12.604999542236328, 0), ('LH', 43.54999923706055, 0), ('REGN', 24.510000228881836, 0), ('TSCO', 2.4000000953674316, 0), ('WDC', 5.980000019073486, 0), ('WDC', 5.980000019073486, 0), ('WRB', 7.233580112457275, 0)]"
2002-02-18,"[('EQIX', 47.68000030517578, 0), ('EQIX', 47.68000030517578, 0), ('HOLX', 3.299999952316284, 0), ('KMX', 13.0, 0), ('LH', 41.474998474121094, 0), ('REGN', 23.219999313354492, 0), ('TSCO', 2.353749990463257, 0), ('WDC', 5.699999809265137, 0), ('WDC', 5.699999809265137, 0), ('WDC', 5.699999809265137, 0), ('WRB', 7.071605205535889, 0)]"
2002-02-25,"[('EQIX', 41.599998474121094, -1), ('EQIX', 41.599998474121094, -1), ('HOLX', 3.1624999046325684, 0), ('KMX', 13.28499984741211, 0), ('LH', 40.75, 0), ('NVR', 290.7099914550781, 0), ('REGN', 23.209999084472656, 0), ('TSCO', 2.617500066757202, 0), ('WDC', 6.150000095367432, 0), ('WDC', 6.150000095367432, 0), ('WRB', 7.216461181640625, 0)]"
2002-03-04,"[('AMZN', 16.350000381469727, 0), ('HOLX', 3.25, 0), ('KMX', 14.515000343322754, 0), ('LH', 43.0, 0), ('NVR', 293.3999938964844, 0), ('REGN', 26.1200008392334, 0), ('TSCO', 2.8343749046325684, 0), ('WDC', 6.579999923706055, 0), ('WDC', 6.579999923706055, 0), ('WRB', 7.321811199188232, 0)]"
2002-03-11,"[('AMZN', 14.029999732971191, -1), ('HOLX', 3.255000114440918, 0), ('KMX', 14.399999618530273, 0), ('LH', 45.0099983215332, 0), ('NVR', 288.6000061035156, 0), ('REGN', 25.229999542236328, 0), ('TSCO', 2.752500057220459, 0), ('WDC', 6.010000228881836, 0), ('WDC', 6.010000228881836, 0), ('WRB', 7.511439800262451, 0)]"
2002-03-18,"[('HOLX', 3.827500104904175, 0), ('KMX', 13.09000015258789, 0), ('LH', 45.95500183105469, 0), ('NVR', 292.75, 0), ('REGN', 24.68000030517578, 0), ('TSCO', 2.6875, 0), ('WDC', 6.050000190734863, 0), ('WDC', 6.050000190734863, 0), ('WRB', 7.589136123657227, 0)]"
2002-03-25,"[('HOLX', 3.862499952316284, 0), ('KMX', 12.930000305175781, 0), ('LH', 47.93000030517578, 0), ('NVR', 315.5, 0), ('REGN', 24.989999771118164, 0), ('TSCO', 2.875, 0), ('WDC', 6.230000019073486, 0), ('WDC', 6.230000019073486, 0), ('WRB', 7.569383144378662, 0)]"
2002-04-01,"[('HOLX', 3.382499933242798, 0), ('KMX', 13.505000114440918, 0), ('LH', 47.625, 0), ('NVR', 331.75, 0), ('REGN', 21.100000381469727, 0), ('TSCO', 3.0199999809265137, 0), ('WDC', 6.639999866485596, 0), ('WDC', 6.639999866485596, 0), ('WRB', 7.707653999328613, 0)]"
2002-04-08,"[('HOLX', 3.8524999618530273, 0), ('KMX', 15.449999809265137, 0), ('LH', 47.29999923706055, 0), ('NVR', 355.0, 0), ('REGN', 23.239999771118164, 0), ('TSCO', 2.958750009536743, 0), ('WDC', 6.75, 0), ('WDC', 6.75, 0), ('WRB', 7.914402961730957, 0)]"
2002-04-15,"[('HOLX', 3.940000057220459, 0), ('KMX', 14.420000076293945, 0), ('LH', 50.29999923706055, 0), ('NVR', 367.0, 0), ('REGN', 22.959999084472656, 0), ('TSCO', 3.409374952316284, 0), ('TTWO', 17.68666648864746, 0), ('WDC', 7.429999828338623, 0), ('WDC', 7.429999828338623, 0), ('WRB', 7.635225772857666, 0)]"
2002-04-22,"[('HOLX', 3.9600000381469727, 0), ('KMX', 14.6850004196167, 0), ('LH', 48.95000076293945, 0), ('NVR', 365.3999938964844, 0), ('REGN', 19.969999313354492, 0), ('TSCO', 3.416874885559082, 0), ('TTWO', 15.286666870117188, 0), ('TTWO', 15.286666870117188, 0), ('WDC', 6.050000190734863, 0), ('WDC', 6.050000190734863, 0), ('WRB', 7.641810894012451, 0)]"
2002-04-29,"[('HOLX', 4.267499923706055, 0), ('KMX', 15.960000038146973, 0), ('LH', 51.310001373291016, 0), ('NVR', 383.25, 0), ('REGN', 18.799999237060547, 0), ('TSCO', 3.6781249046325684, 0), ('TTWO', 16.873332977294922, 0), ('TTWO', 16.873332977294922, 0), ('WDC', 5.949999809265137, 0), ('WDC', 5.949999809265137, 0), ('WRB', 7.868312835693359, 0)]"
2002-05-06,"[('HOLX', 4.027500152587891, 0), ('KMX', 16.110000610351562, 0), ('LH', 51.97999954223633, 0), ('NVR', 362.010009765625, 0), ('REGN', 17.5, 0), ('TSCO', 3.468125104904175, 0), ('TTWO', 15.833333015441895, 0), ('TTWO', 15.833333015441895, 0), ('WDC', 4.880000114440918, -1), ('WDC', 4.880000114440918, -1), ('WRB', 7.618106842041016, 0)]"
2002-05-13,"[('HOLX', 4.25, 0), ('KMX', 14.699999809265137, 0), ('LH', 48.81999969482422, -1), ('NVR', 363.25, 0), ('REGN', 18.489999771118164, 0), ('TSCO', 3.606250047683716, 0), ('TTWO', 17.066667556762695, 0), ('TTWO', 17.066667556762695, 0), ('WRB', 7.96707820892334, 0)]"
2002-05-20,"[('HOLX', 4.324999809265137, 0), ('KMX', 14.074999809265137, -1), ('NVR', 362.0, 0), ('REGN', 17.15999984741211, 0), ('TSCO', 3.625624895095825, 0), ('TTWO', 17.0, 0), ('TTWO', 17.0, 0), ('WRB', 7.855144023895264, 0)]"
2002-05-27,"[('HOLX', 4.125, 0), ('NVR', 331.0, 0), ('REGN', 16.520000457763672, 0), ('TSCO', 3.491874933242798, 0), ('TTWO', 17.113332748413086, 0), ('TTWO', 17.113332748413086, 0), ('WRB', 7.765596866607666, 0)]"
2002-06-03,"[('HOLX', 3.805000066757202, 0), ('NVR', 335.0, 0), ('REGN', 14.430000305175781, 0), ('TSCO', 3.721874952316284, 0), ('TTWO', 14.69333267211914, -1), ('TTWO', 14.69333267211914, -1), ('WRB', 7.546996116638184, -1)]"
2002-06-10,"[('HOLX', 3.3450000286102295, 0), ('NVR', 319.5, 0), ('REGN', 14.960000038146973, 0), ('TSCO', 4.422500133514404, 0)]"
2002-06-17,"[('HOLX', 3.700000047683716, 0), ('NVR', 341.0, 0), ('REGN', 13.65999984741211, 0), ('TSCO', 4.509375095367432, 0)]"
2002-06-24,"[('HOLX', 3.617500066757202, 0), ('NVR', 323.0, 0), ('REGN', 14.510000228881836, 0), ('TSCO', 4.436874866485596, 0)]"
2002-07-01,"[('HOLX', 3.012500047683716, 0), ('NVR', 322.0, 0), ('REGN', 13.0, 0), ('TSCO', 4.213749885559082, 0)]"
2002-07-08,"[('HOLX', 3.1700000762939453, 0), ('NVR', 292.0, 0), ('REGN', 12.369999885559082, 0), ('TSCO', 4.135624885559082, 0)]"
2002-07-15,"[('HOLX', 2.802500009536743, 0), ('HOLX', 2.802500009536743, 0), ('NVR', 267.75, 0), ('NVR', 267.75, 0), ('REGN', 13.300000190734863, 0), ('TSCO', 3.4593749046325684, -1)]"
2002-07-22,"[('HOLX', 3.007499933242798, 0), ('HOLX', 3.007499933242798, 0), ('NVR', 278.0, 0), ('NVR', 278.0, 0), ('REGN', 13.600000381469727, 0)]"
2002-07-29,"[('HOLX', 2.427500009536743, -1), ('HOLX', 2.427500009536743, -1), ('NVR', 269.3500061035156, 0), ('NVR', 269.3500061035156, 0), ('NVR', 269.3500061035156, 0), ('REGN', 15.270000457763672, 0)]"
2002-08-05,"[('NVR', 295.94000244140625, 0), ('NVR', 295.94000244140625, 0), ('REGN', 16.799999237060547, 0)]"
2002-08-12,"[('NVR', 308.0, 0), ('NVR', 308.0, 0), ('REGN', 16.950000762939453, 0)]"
2002-08-19,"[('NVR', 317.5, 0), ('NVR', 317.5, 0), ('REGN', 16.5, 0)]"
2002-08-26,"[('NVR', 296.5, 0), ('NVR', 296.5, 0), ('REGN', 15.449999809265137, 0)]"
2002-09-02,"[('NVR', 318.0, 0), ('NVR', 318.0, 0), ('REGN', 14.600000381469727, 0)]"
2002-09-09,"[('NVR', 325.29998779296875, 0), ('NVR', 325.29998779296875, 0), ('REGN', 14.649999618530273, 0)]"
2002-09-16,"[('NVR', 316.9800109863281, 0), ('NVR', 316.9800109863281, 0), ('REGN', 12.739999771118164, 0)]"
2002-09-23,"[('NVR', 302.95001220703125, 0), ('NVR', 302.95001220703125, 0), ('REGN', 12.739999771118164, 0)]"
2002-09-30,"[('NVR', 287.0, 0), ('NVR', 287.0, 0), ('REGN', 13.3100004196167, 0)]"
2002-10-07,"[('NVR', 295.5, 0), ('NVR', 295.5, 0), ('REGN', 12.859999656677246, 0)]"
2002-10-14,"[('NVR', 323.0, 0), ('NVR', 323.0, 0), ('REGN', 15.069999694824219, 0)]"
2002-10-21,"[('NVR', 338.25, 0), ('NVR', 338.25, 0), ('REGN', 15.210000038146973, 0)]"
2002-10-28,"[('NVR', 346.25, 0), ('NVR', 346.25, 0), ('REGN', 15.789999961853027, 0)]"
2002-11-04,"[('NVR', 313.1199951171875, 0), ('NVR', 313.1199951171875, 0), ('REGN', 16.600000381469727, 0)]"
2002-11-11,"[('NVR', 325.0, 0), ('NVR', 325.0, 0), ('REGN', 16.049999237060547, 0)]"
2002-11-18,"[('AKAM', 2.200000047683716, 0), ('AMT', 3.549999952316284, 0), ('NVR', 334.5, 0), ('NVR', 334.5, 0), ('REGN', 21.540000915527344, 0), ('SWKS', 11.569999694824219, 0)]"
2002-11-25,"[('AKAM', 2.059999942779541, 0), ('AMT', 3.890000104904175, 0), ('NVR', 331.0, 0), ('NVR', 331.0, 0), ('REGN', 21.649999618530273, 0), ('SWKS', 12.050000190734863, 0)]"
2002-12-02,"[('AKAM', 1.6200000047683716, 0), ('AMT', 3.490000009536743, 0), ('CTXS', 10.351966857910156, 0), ('NVR', 322.0, 0), ('NVR', 322.0, 0), ('REGN', 21.399999618530273, 0), ('SWKS', 10.420000076293945, 0)]"
2002-12-09,"[('AKAM', 1.649999976158142, 0), ('AMT', 3.950000047683716, 0), ('CTXS', 9.627328872680664, 0), ('CTXS', 9.627328872680664, 0), ('NVR', 323.0, 0), ('NVR', 323.0, 0), ('REGN', 20.540000915527344, 0), ('SWKS', 9.789999961853027, 0)]"
2002-12-16,"[('AKAM', 1.7899999618530273, 0), ('AMT', 3.9000000953674316, 0), ('CTXS', 10.351966857910156, 0), ('CTXS', 10.351966857910156, 0), ('NVR', 334.75, 0), ('NVR', 334.75, 0), ('REGN', 19.809999465942383, 0), ('SWKS', 8.859999656677246, -1)]"
2002-12-23,"[('AKAM', 1.8799999952316284, 0), ('AMT', 3.319999933242798, 0), ('CTXS', 10.081222534179688, 0), ('CTXS', 10.081222534179688, 0), ('NVR', 332.0, 0), ('NVR', 332.0, 0), ('REGN', 19.200000762939453, 0)]"
2002-12-30,"[('AKAM', 1.899999976158142, 0), ('AMT', 3.690000057220459, 0), ('CTXS', 10.797898292541504, 0), ('CTXS', 10.797898292541504, 0), ('NVR', 335.5, 0), ('NVR', 335.5, 0), ('REGN', 18.559999465942383, 0)]"
2003-01-06,"[('AKAM', 1.7699999809265137, 0), ('AMT', 4.079999923706055, 0), ('CTXS', 11.28364372253418, 0), ('CTXS', 11.28364372253418, 0), ('GLW', 4.510000228881836, 0), ('NVR', 346.5, 0), ('NVR', 346.5, 0), ('REGN', 19.290000915527344, 0)]"
2003-01-13,"[('AKAM', 1.5399999618530273, 0), ('AMT', 4.460000038146973, 0), ('CTXS', 10.216594696044922, 0), ('CTXS', 10.216594696044922, 0), ('GLW', 4.289999961853027, 0), ('NVR', 348.0, 0), ('NVR', 348.0, 0), ('REGN', 21.270000457763672, 0)]"
2003-01-20,"[('AKAM', 1.399999976158142, 0), ('AMT', 4.739999771118164, 0), ('CTXS', 10.56696891784668, 0), ('CTXS', 10.56696891784668, 0), ('GLW', 4.0, 0), ('GLW', 4.0, 0), ('NVR', 333.5, 0), ('NVR', 333.5, 0), ('REGN', 20.6299991607666, 0)]"
2003-01-27,"[('AKAM', 1.3300000429153442, 0), ('AMT', 5.079999923706055, 0), ('CTXS', 10.98901081085205, 0), ('CTXS', 10.98901081085205, 0), ('GLW', 4.079999923706055, 0), ('GLW', 4.079999923706055, 0), ('NVR', 332.5, 0), ('NVR', 332.5, 0), ('REGN', 18.729999542236328, 0)]"
2003-02-03,"[('AKAM', 1.4199999570846558, 0), ('AMT', 4.760000228881836, 0), ('CTXS', 9.420289993286133, 0), ('CTXS', 9.420289993286133, 0), ('CTXS', 9.420289993286133, 0), ('GLW', 4.570000171661377, 0), ('GLW', 4.570000171661377, 0), ('NVR', 329.1000061035156, 0), ('NVR', 329.1000061035156, 0), ('REGN', 17.889999389648438, 0)]"
2003-02-10,"[('AKAM', 1.3300000429153442, 0), ('AMT', 4.690000057220459, 0), ('CTXS', 9.444178581237793, 0), ('CTXS', 9.444178581237793, 0), ('CTXS', 9.444178581237793, 0), ('GLW', 5.179999828338623, 0), ('GLW', 5.179999828338623, 0), ('NVR', 332.9800109863281, 0), ('NVR', 332.9800109863281, 0), ('REGN', 17.25, 0)]"
2003-02-17,"[('AKAM', 1.4600000381469727, 0), ('AMT', 4.940000057220459, 0), ('CTXS', 9.953813552856445, 0), ('CTXS', 9.953813552856445, 0), ('GLW', 4.989999771118164, 0), ('GLW', 4.989999771118164, 0), ('NVR', 334.0, 0), ('NVR', 334.0, 0), ('REGN', 17.5, 0)]"
2003-02-24,"[('AKAM', 1.5299999713897705, 0), ('AMT', 4.690000057220459, 0), ('CTXS', 9.555662155151367, 0), ('CTXS', 9.555662155151367, 0), ('CTXS', 9.555662155151367, 0), ('GLW', 4.920000076293945, 0), ('GLW', 4.920000076293945, 0), ('NVR', 331.95001220703125, 0), ('NVR', 331.95001220703125, 0), ('REGN', 18.34000015258789, 0)]"
2003-03-03,"[('AKAM', 1.3600000143051147, 0), ('AMT', 4.989999771118164, 0), ('CTXS', 9.276954650878906, -1), ('CTXS', 9.276954650878906, -1), ('GLW', 5.789999961853027, 0), ('GLW', 5.789999961853027, 0), ('NVR', 307.04998779296875, 0), ('NVR', 307.04998779296875, 0), ('REGN', 17.75, 0)]"
2003-03-10,"[('AKAM', 1.3600000143051147, 0), ('AMT', 5.059999942779541, 0), ('GLW', 5.889999866485596, 0), ('GLW', 5.889999866485596, 0), ('NVR', 318.75, 0), ('NVR', 318.75, 0), ('REGN', 19.829999923706055, 0)]"
2003-03-17,"[('AKAM', 1.4500000476837158, 0), ('AMT', 5.940000057220459, 0), ('GLW', 6.119999885559082, 0), ('GLW', 6.119999885559082, 0), ('NVR', 349.75, 0), ('NVR', 349.75, 0), ('REGN', 20.459999084472656, 0), ('SBAC', 1.309999942779541, 0)]"
2003-03-24,"[('AKAM', 1.4900000095367432, 0), ('ALGN', 6.130000114440918, 0), ('AMT', 5.349999904632568, 0), ('GLW', 6.0, 0), ('GLW', 6.0, 0), ('NVR', 338.0, 0), ('NVR', 338.0, 0), ('REGN', 17.309999465942383, 0), ('SBAC', 1.2999999523162842, 0), ('WMB', 3.831439971923828, 0)]"
2003-03-31,"[('AES', 4.699999809265137, 0), ('AKAM', 1.4299999475479126, 0), ('ALGN', 6.550000190734863, 0), ('AMT', 5.989999771118164, 0), ('CCI', 5.860000133514404, 0), ('GLW', 5.75, 0), ('GLW', 5.75, 0), ('NVR', 345.5, 0), ('NVR', 345.5, 0), ('REGN', 6.710000038146973, -1), ('SBAC', 1.4299999475479126, 0), ('WMB', 3.9944798946380615, 0)]"
2003-04-07,"[('AES', 4.289999961853027, 0), ('AKAM', 1.399999976158142, 0), ('ALGN', 6.659999847412109, 0), ('AMT', 6.349999904632568, 0), ('CCI', 6.199999809265137, 0), ('GLW', 5.679999828338623, 0), ('GLW', 5.679999828338623, 0), ('NVR', 357.75, 0), ('NVR', 357.75, 0), ('SBAC', 1.350000023841858, 0), ('WMB', 4.402080059051514, 0)]"
2003-04-14,"[('AES', 4.460000038146973, 0), ('AKAM', 1.4500000476837158, 0), ('ALGN', 6.840000152587891, 0), ('AMT', 6.539999961853027, 0), ('CCI', 6.25, 0), ('GLW', 6.0, 0), ('GLW', 6.0, 0), ('NVR', 362.25, 0), ('NVR', 362.25, 0), ('SBAC', 1.2000000476837158, 0), ('WMB', 4.809679985046387, 0)]"
2003-04-21,"[('AES', 5.449999809265137, 0), ('AKAM', 2.299999952316284, 0), ('ALGN', 6.119999885559082, 0), ('AMT', 6.440000057220459, 0), ('CCI', 6.460000038146973, 0), ('CTXS', 14.206084251403809, 0), ('GLW', 5.739999771118164, 0), ('GLW', 5.739999771118164, 0), ('NVR', 363.67999267578125, 0), ('NVR', 363.67999267578125, 0), ('SBAC', 1.7300000190734863, 0), ('WMB', 5.4862961769104, 0)]"
2003-04-28,"[('AES', 6.889999866485596, 0), ('AKAM', 2.559999942779541, 0), ('ALGN', 7.849999904632568, 0), ('AMT', 7.340000152587891, 0), ('BKNG', 18.84000015258789, 0), ('CCI', 6.579999923706055, 0), ('CTXS', 15.766841888427734, 0), ('GLW', 5.429999828338623, 0), ('GLW', 5.429999828338623, 0), ('GRMN', 22.59000015258789, 0), ('NVR', 360.0, 0), ('NVR', 360.0, 0), ('SBAC', 1.600000023841858, 0), ('TRMB', 4.058332920074463, 0), ('WMB', 5.755311965942383, 0)]"
2003-05-05,"[('AES', 6.550000190734863, 0), ('AKAM', 3.319999933242798, 0), ('ALGN', 8.010000228881836, 0), ('AMT', 7.5, 0), ('BKNG', 17.700000762939453, 0), ('CCI', 7.179999828338623, 0), ('CTXS', 14.922758102416992, 0), ('GLW', 5.900000095367432, 0), ('GLW', 5.900000095367432, 0), ('GRMN', 22.950000762939453, 0), ('NVDA', 1.7808330059051514, 0), ('NVR', 378.25, 0), ('NVR', 378.25, 0), ('PWR', 4.980000019073486, 0), ('SBAC', 2.240000009536743, 0), ('TRMB', 3.978332996368408, 0), ('WMB', 5.5270562171936035, 0)]"
2003-05-12,"[('AES', 7.389999866485596, 0), ('AKAM', 3.369999885559082, 0), ('ALGN', 8.430000305175781, 0), ('AMT', 7.659999847412109, 0), ('BKNG', 20.15999984741211, 0), ('CCI', 7.03000020980835, 0), ('CTXS', 16.332218170166016, 0), ('GLW', 6.289999961853027, 0), ('GLW', 6.289999961853027, 0), ('GRMN', 24.19499969482422, 0), ('NVDA', 1.7716670036315918, 0), ('NVR', 384.75, 0), ('NVR', 384.75, 0), ('PWR', 4.869999885559082, 0), ('SBAC', 2.4600000381469727, 0), ('TRMB', 4.011666774749756, 0), ('VRSN', 13.489999771118164, 0), ('WMB', 6.766160011291504, 0)]"
2003-05-19,"[('AES', 7.320000171661377, 0), ('AKAM', 3.640000104904175, 0), ('ALGN', 9.079999923706055, 0), ('AMT', 8.5, 0), ('BIO', 58.189998626708984, 0), ('BKNG', 25.559999465942383, 0), ('CCI', 7.130000114440918, 0), ('CTXS', 16.395923614501953, 0), ('GLW', 6.019999980926514, 0), ('GLW', 6.019999980926514, 0), ('GRMN', 23.139999389648438, 0), ('NVDA', 1.7391669750213623, 0), ('NVR', 397.8500061035156, 0), ('NVR', 397.8500061035156, 0), ('PWR', 5.070000171661377, 0), ('SBAC', 2.5, 0), ('TRMB', 4.03000020980835, 0), ('VRSN', 13.699999809265137, 0), ('WMB', 6.440080165863037, 0)]"
2003-05-26,"[('AES', 7.920000076293945, 0), ('AKAM', 3.6600000858306885, 0), ('ALGN', 10.130000114440918, 0), ('AMT', 8.960000038146973, 0), ('BIO', 59.0, 0), ('BKNG', 24.600000381469727, 0), ('CCI', 8.329999923706055, 0), ('CTXS', 17.35148811340332, 0), ('GLW', 7.309999942779541, 0), ('GLW', 7.309999942779541, 0), ('GRMN', 24.125, 0), ('JNPR', 13.8100004196167, 0), ('NVDA', 2.180833101272583, 0), ('NVR', 407.75, 0), ('NVR', 407.75, 0), ('PWR', 6.010000228881836, 0), ('SBAC', 3.049999952316284, 0), ('TRMB', 4.488333225250244, 0), ('VRSN', 14.979999542236328, 0), ('WDC', 12.520000457763672, 0), ('WMB', 6.448232173919678, 0)]"
2003-06-02,"[('ABMD', 6.260000228881836, 0), ('AES', 7.829999923706055, 0), ('AKAM', 4.420000076293945, 0), ('ALGN', 9.489999771118164, 0), ('AMT', 8.699999809265137, 0), ('BIO', 62.04999923706055, 0), ('BKNG', 23.940000534057617, 0), ('CCI', 8.550000190734863, 0), ('CMI', 9.97249984741211, 0), ('COF', 52.650001525878906, 0), ('CTXS', 18.076126098632812, 0), ('GLW', 7.849999904632568, 0), ('GLW', 7.849999904632568, 0), ('GRMN', 25.1299991607666, 0), ('JNPR', 13.819999694824219, 0), ('KMX', 14.699999809265137, 0), ('NVDA', 2.146667003631592, 0), ('NVR', 413.25, 0), ('NVR', 413.25, 0), ('PWR', 8.199999809265137, 0), ('SBAC', 3.130000114440918, 0), ('TRMB', 4.448332786560059, 0), ('VRSN', 14.920000076293945, 0), ('WDC', 11.859999656677246, 0), ('WMB', 7.116695880889893, 0)]"
2003-06-09,"[('ABMD', 6.210000038146973, 0), ('AES', 7.96999979019165, 0), ('AKAM', 5.099999904632568, 0), ('ALGN', 10.8100004196167, 0), ('AMT', 8.449999809265137, 0), ('BIO', 59.20000076293945, 0), ('BKNG', 25.440000534057617, 0), ('CCI', 7.989999771118164, 0), ('CMI', 9.922499656677246, 0), ('COF', 52.93000030517578, 0), ('CTXS', 17.82927131652832, 0), ('GLW', 7.599999904632568, 0), ('GLW', 7.599999904632568, 0), ('GRMN', 24.809999465942383, 0), ('JNPR', 12.819999694824219, 0), ('JNPR', 12.819999694824219, 0), ('KMX', 15.100000381469727, 0), ('NVDA', 1.9558329582214355, 0), ('NVR', 424.54998779296875, 0), ('NVR', 424.54998779296875, 0), ('PWR', 7.440000057220459, 0), ('SBAC', 3.0399999618530273, 0), ('TRMB', 4.239999771118164, 0), ('VRSN', 14.0600004196167, 0), ('WDC', 11.329999923706055, 0), ('WMB', 6.863984107971191, 0)]"
2003-06-16,"[('ABMD', 5.400000095367432, 0), ('AES', 6.929999828338623, 0), ('AKAM', 5.579999923706055, 0), ('ALGN', 11.75, 0), ('AMT', 8.619999885559082, 0), ('BIO', 56.45000076293945, 0), ('BKNG', 25.780000686645508, 0), ('CCI', 7.71999979019165, 0), ('CMI', 9.8774995803833, 0), ('COF', 49.63999938964844, 0), ('COF', 49.63999938964844, 0), ('CTXS', 16.817964553833008, 0), ('GLW', 7.900000095367432, 0), ('GLW', 7.900000095367432, 0), ('GRMN', 22.049999237060547, -1), ('JNPR', 13.149999618530273, 0), ('JNPR', 13.149999618530273, 0), ('JNPR', 13.149999618530273, 0), ('KMX', 14.755000114440918, 0), ('NVDA', 1.9733330011367798, 0), ('NVR', 406.5, 0), ('NVR', 406.5, 0), ('PWR', 7.400000095367432, 0), ('SBAC', 2.9700000286102295, 0), ('TRMB', 4.079999923706055, 0), ('VRSN', 13.970000267028809, 0), ('WDC', 11.319999694824219, 0), ('WMB', 6.725399971008301, 0)]"
2003-06-23,"[('ABMD', 5.5, 0), ('AES', 6.380000114440918, 0), ('AKAM', 4.940000057220459, 0), ('ALGN', 11.869999885559082, 0), ('AMT', 8.90999984741211, 0), ('BIO', 56.150001525878906, 0), ('BKNG', 21.700000762939453, 0), ('CCI', 7.75, 0), ('CMI', 8.967499732971191, 0), ('CMI', 8.967499732971191, 0), ('COF', 48.880001068115234, 0), ('COF', 48.880001068115234, 0), ('COF', 48.880001068115234, 0), ('CTXS', 16.483516693115234, 0), ('GLW', 7.5, 0), ('GLW', 7.5, 0), ('JNPR', 12.5, -1), ('JNPR', 12.5, -1), ('KMX', 15.319999694824219, 0), ('NVDA', 1.8799999952316284, 0), ('NVR', 414.95001220703125, 0), ('NVR', 414.95001220703125, 0), ('PWR', 7.090000152587891, 0), ('SBAC', 3.0, 0), ('TRMB', 3.9316670894622803, 0), ('VRSN', 13.949999809265137, 0), ('WDC', 10.680000305175781, -1), ('WMB', 6.415624141693115, 0)]"
